"pid","edu_comp_age_1_1","edu_comp_age_2_1","edu_qual_1_m","housing_income_1_1","work_distance_1_1","work_manual_labour_1_1","work_nights_1_1","work_shifts_1_1","work_status_1_m","work_status_2_m","work_transport_1_m","work_walk_stand_1_1","work_wk_hrs_1_1","work_wk_travel_1_1","work_yrs_1_1"
"GV944165","Never went to school","Prefer not to answer","NVQ or HND or HNC or equivalent","£52,000 to £100,000","37","Sometimes","Usually","Sometimes",NA,"On paid leave (e.g., maternity/paternity/sick leave)","Work from home","Never/rarely","23.5","77","35"
"QO839026","Still in full time education","Still in full time education","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","0","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","0.3","70","45"
"ED157994","Still in full time education","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","95",NA,NA,NA,NA,"Retired",NA,NA,"5.7","25","32"
"VG841695","Prefer not to answer","Do not know","CSEs or equivalent","£18,000 to £30,999","4","Prefer not to answer","Prefer not to answer","Sometimes",NA,"On paid leave (e.g., maternity/paternity/sick leave)","Car or motor vehicle","Sometimes","4.3","65","71"
"TK904954","Still in full time education","Still in full time education","CSEs or equivalent","Less than £18,000","77","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","13.0","71","62"
"RJ852847","Still in full time education","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent","Greater than £100,000","78","Never/rarely",NA,"Never/rarely",NA,"Doing unpaid or voluntary work","Car or motor vehicle","Sometimes","3.2","11","75"
"ZH975570","Never went to school","Prefer not to answer","CSEs or equivalent","£52,000 to £100,000","35","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","17.0","91","42"
"IC385782","Never went to school","Prefer not to answer","O levels/GCSEs or equivalent","£31,000 to £51,999","84",NA,NA,NA,NA,"Retired",NA,NA,"7.0","90","67"
"KM374599","Do not know","Prefer not to answer","O levels/GCSEs or equivalent","£18,000 to £30,999","49",NA,NA,NA,NA,"Full or part-time student",NA,NA,"5.3","79","55"
"FT369522","Do not know","Never went to school","NVQ or HND or HNC or equivalent","Less than £18,000","48","Never/rarely","Usually","Usually",NA,"Looking after home and/or family","Car or motor vehicle","Sometimes","2.1","9","33"
"JW105527","Prefer not to answer","Never went to school","O levels/GCSEs or equivalent","£52,000 to £100,000","42","Never/rarely","Always","Usually",NA,"In paid employment or self-employed","Cycle","Sometimes","20.1","48","8"
"IX441546","Still in full time education","Never went to school","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","78","Prefer not to answer","Usually","Sometimes",NA,"Looking after home and/or family","Car or motor vehicle","Sometimes","9.9","77","8"
"WP166464","Do not know","Still in full time education","O levels/GCSEs or equivalent","£31,000 to £51,999","55","Never/rarely","Never/rarely","Usually",NA,"In paid employment or self-employed; Retired","Bus or coach","Never/rarely","12.7","11","6"
"ZH977235","Still in full time education","Prefer not to answer","CSEs or equivalent","£31,000 to £51,999","45",NA,NA,NA,NA,"Full or part-time student",NA,NA,"21.1","21","23"
"SC399262","Do not know","Prefer not to answer","Prefer not to answer","Less than £18,000","15","Always","Do not know","Sometimes",NA,"In paid employment or self-employed","Walk","Never/rarely","1.0","41","55"
"II402506","Do not know","Still in full time education","None of the above","Less than £18,000","83","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Prefer not to answer","15.8","23","35"
"KP798138","Prefer not to answer","Prefer not to answer","NVQ or HND or HNC or equivalent","£18,000 to £30,999","45","Never/rarely","Sometimes","Sometimes",NA,"In paid employment or self-employed","Cycle","Sometimes","8.2","5","46"
"SK110384","Do not know","Never went to school","CSEs or equivalent","£31,000 to £51,999","53","Sometimes","Usually","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","6.9","28","10"
"UM976368","Never went to school","Prefer not to answer","CSEs or equivalent","£31,000 to £51,999","92","Never/rarely",NA,"Never/rarely",NA,"Doing unpaid or voluntary work","Train","Never/rarely","5.8","47","45"
"DG503481","Prefer not to answer","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","90",NA,NA,NA,NA,"Retired",NA,NA,"24.0","20","79"
"JR969176","Still in full time education","Still in full time education","NVQ or HND or HNC or equivalent","£31,000 to £51,999","71","Never/rarely",NA,"Never/rarely",NA,"Doing unpaid or voluntary work","Car or motor vehicle","Sometimes","2.1","2","12"
"VG764018","Still in full time education","Still in full time education","A levels/AS levels/BTEC or equivalent","Less than £18,000","82","Sometimes","Never/rarely","Sometimes",NA,"In paid employment or self-employed","Cycle","Sometimes","6.6","58","71"
"YU934641","Still in full time education","Still in full time education","CSEs or equivalent","Greater than £100,000","80",NA,NA,NA,NA,"Retired",NA,NA,"16.1","75","31"
"VE715554","Prefer not to answer","Never went to school","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","88","Prefer not to answer",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Sometimes","5.6","13","8"
